date,realtime_end,realtime_start,value
2013-09-01,2018-12-05,2018-12-05,1689603
2013-10-01,2018-12-05,2018-12-05,1736805
2013-11-01,2018-12-05,2018-12-05,1745544
2013-12-01,2018-12-05,2018-12-05,1694432
2014-01-01,2018-12-05,2018-12-05,1719546
2014-02-01,2018-12-05,2018-12-05,1735154
2014-03-01,2018-12-05,2018-12-05,1743559
2014-04-01,2018-12-05,2018-12-05,1754431
2014-05-01,2018-12-05,2018-12-05,1750474
2014-06-01,2018-12-05,2018-12-05,1739243
2014-07-01,2018-12-05,2018-12-05,1750970
2014-08-01,2018-12-05,2018-12-05,1752955
2014-09-01,2018-12-05,2018-12-05,1770220
2014-10-01,2018-12-05,2018-12-05,1810921
2014-11-01,2018-12-05,2018-12-05,1814882
2014-12-01,2018-12-05,2018-12-05,1754529
2015-01-01,2018-12-05,2018-12-05,1771412
2015-02-01,2018-12-05,2018-12-05,1782670
2015-03-01,2018-12-05,2018-12-05,1786708
2015-04-01,2018-12-05,2018-12-05,1797087
2015-05-01,2018-12-05,2018-12-05,1787824
2015-06-01,2018-12-05,2018-12-05,1786571
2015-07-01,2018-12-05,2018-12-05,1791658
2015-08-01,2018-12-05,2018-12-05,1790448
2015-09-01,2018-12-05,2018-12-05,1811055
2015-10-01,2018-12-05,2018-12-05,1848205
2015-11-01,2018-12-05,2018-12-05,1844639
2015-12-01,2018-12-05,2018-12-05,1784410
2016-01-01,2018-12-05,2018-12-05,1799678
2016-02-01,2018-12-05,2018-12-05,1800451
2016-03-01,2018-12-05,2018-12-05,1810956
2016-04-01,2018-12-05,2018-12-05,1817174
2016-05-01,2018-12-05,2018-12-05,1808888
2016-06-01,2018-12-05,2018-12-05,1800995
2016-07-01,2018-12-05,2018-12-05,1800786
2016-08-01,2018-12-05,2018-12-05,1802897
2016-09-01,2018-12-05,2018-12-05,1822195
2016-10-01,2018-12-05,2018-12-05,1854530
2016-11-01,2018-12-05,2018-12-05,1870309
2016-12-01,2018-12-05,2018-12-05,1817500
2017-01-01,2018-12-05,2018-12-05,1839077
2017-02-01,2018-12-05,2018-12-05,1848563
2017-03-01,2018-12-05,2018-12-05,1856341
2017-04-01,2018-12-05,2018-12-05,1854169
2017-05-01,2018-12-05,2018-12-05,1847923
2017-06-01,2018-12-05,2018-12-05,1846889
2017-07-01,2018-12-05,2018-12-05,1851463
2017-08-01,2018-12-05,2018-12-05,1863853
2017-09-01,2018-12-05,2018-12-05,1883533
2017-10-01,2018-12-05,2018-12-05,1916487
2017-11-01,2018-12-05,2018-12-05,1929645
2017-12-01,2018-12-05,2018-12-05,1881009
2018-01-01,2018-12-05,2018-12-05,1912870
2018-02-01,2018-12-05,2018-12-05,1930385
2018-03-01,2018-12-05,2018-12-05,1929823
2018-04-01,2018-12-05,2018-12-05,1935439
2018-05-01,2018-12-05,2018-12-05,1929252
2018-06-01,2018-12-05,2018-12-05,1919782
2018-07-01,2018-12-05,2018-12-05,1931252
2018-08-01,2018-12-05,2018-12-05,1942182
2018-09-01,2018-12-05,2018-12-05,1966573
